ticket_id,title,description,category,resolution,priority,
TKT-1376,It's broken,Fix it immediately.,Application,Escalated to human triage. Insufficient information.,Low,
TKT-1377,Help,Nothing works.,Infrastructure,Escalated to human triage. Insufficient information.,Low,
TKT-1378,Error,I got an error message.,Application,Escalated to human triage. Insufficient information.,Low,
TKT-1379,Doesn't work,Why isn't it working?,Network,Escalated to human triage. Insufficient information.,Low,
TKT-1380,Please assist,Need help with my computer.,Infrastructure,Escalated to human triage. Insufficient information.,Low,
TKT-1381,Jenkins out of memory,The Jenkins master is unresponsive and throwing Java heap space errors.,Infrastructure,Increased the JVM heap size to 8GB and restarted the Jenkins service.,High,
TKT-1382,Ransomware alert,Multiple files changed to .crypt extension on the shared drive.,Security,Severed network connection to the server. Initiated incident response and disaster recovery protocol.,Critical,
TKT-1383,MySQL replication lag,Read replica is 300 seconds behind the master.,Database,Temporarily paused a heavy reporting job to allow the replication thread to catch up.,High,
TKT-1384,VPN certificate expired,My OpenVPN says cert expired.,Security,Generated a new client certificate and provisioned it to the user.,Medium,
TKT-1385,Cannot reach Gitlab,DNS resolution failing for gitlab.internal.,Network,Flushed local DNS cache and updated user's network adapter to point to the correct internal DNS servers.,Medium,
TKT-1386,Need AWS CLI access,Need to download logs via CLI.,Access Management,Created an IAM user with read-only access and securely delivered the access keys.,Low,
TKT-1387,EFS mount failed,Cannot mount the elastic file system on boot.,Storage,Added the efs-utils package to the server and updated the /etc/fstab entry.,Medium,
TKT-1388,Node NotReady,EKS worker node is in NotReady state due to PLEG issues.,Infrastructure,"Cordoned the node, drained the pods, and terminated the EC2 instance to let autoscaling replace it.",High,
TKT-1389,Unusual login,Alert for login from China.,Security,Confirmed it was the user traveling. Added a temporary travel exception to the conditional access policy.,Low,
TKT-1390,App crash on startup,The iOS app crashes immediately on launch.,Application,Reverted a bad dependency update in package.json and pushed a hotfix build to TestFlight.,High,
TKT-1391,Forgot password,Need password reset. Phone is 555-019-8832.,Access Management,Sent a secure password reset link via SMS to the registered mobile device.,Medium,
TKT-1392,Postgres max connections,Getting 'too many clients already' error.,Database,Increased max_connections to 500 and implemented PgBouncer to manage connection pooling.,Critical,
TKT-1393,Cannot delete file,File says it is in use by another program.,Storage,"Used Resource Monitor to find the locking process and killed it, allowing file deletion.",Low,
TKT-1394,Printer jam,Paper stuck in printer 4.,Infrastructure,Removed the jammed paper from the fuser unit and ran a cleaning page.,Low,
TKT-1395,API 502 error,Nginx is returning 502 Bad Gateway.,Network,The upstream Node.js service had crashed. Restarted the service via PM2.,High,
TKT-1396,Need Figma license,Need to edit designs.,Access Management,Provisioned a Figma editor license via the admin portal.,Low,
TKT-1397,Lost hardware token,I lost my Yubikey.,Security,Revoked the lost Yubikey in Okta and issued a new one from stock.,High,
TKT-1398,Slow file transfer,Copying to the NAS is very slow.,Network,Upgraded the switch port to 10Gbps and enabled Jumbo Frames on the server.,Medium,
TKT-1399,Kafka broker offline,Broker 2 is down.,Infrastructure,Broker ran out of disk space. Extended the EBS volume and restarted the Kafka service.,High,
TKT-1400,React router issue,Blank page on navigation.,Application,Fixed missing 'exact' path declaration in the route configuration.,Medium,
TKT-1401,Need Tableau access,Please grant access.,Access Management,Assigned Viewer license based on manager approval.,Low,
TKT-1402,DynamoDB throttling,Write throughput exceeded.,Database,Changed the table to On-Demand billing mode to handle the traffic spike.,High,
TKT-1403,Website blocked,Firewall is blocking a legitimate research site.,Security,Added the URL to the web filter whitelist under the 'Research' category.,Low,
TKT-1404,Macbook battery swelling,Trackpad is pushing up.,Infrastructure,Instructed user to stop using immediately. Shipped a replacement laptop.,High,
TKT-1405,S3 upload failing,Getting access denied on put object.,Storage,Updated the bucket policy to allow the specific IAM role to write to the prefix.,Medium,
TKT-1406,VPN disconnects,Drops every 5 minutes.,Network,Switched the VPN profile to use TCP instead of UDP over the user's unstable home connection.,Medium,
TKT-1407,Forgot Jira PIN,Can't remember my PIN.,Access Management,Reset the mobile PIN via the MDM console.,Low,
TKT-1408,Elasticsearch red health,Cluster is missing primary shards.,Database,Restored the missing indices from the nightly snapshot repository.,Critical,
TKT-1409,Malicious macro,Excel warned me about a macro.,Security,Confirmed the file was malicious. Deleted the file and initiated a full AV scan.,High,
TKT-1410,Memory leak in sidecar,Fluentbit is using 2GB RAM.,Infrastructure,Updated the Fluentbit config to limit memory buffering and restart on limits.,Medium,
TKT-1411,Slack webhook broken,Not getting alerts.,Application,Regenerated the webhook URL in Slack and updated the application secrets.,Medium,
TKT-1412,Need local admin rights,Need to install software.,Access Management,Denied permanent admin rights. Provided LAPS credentials for a 1-hour window.,Medium,
TKT-1413,Route 53 health check fail,Failing over to secondary region.,Network,Primary application load balancer was dropping traffic. Restarted ALB target group instances.,Critical,
TKT-1414,Cannot mount volume,Docker fails to mount host path.,Storage,Created the missing directory on the host machine and corrected permissions.,Medium,
TKT-1415,High CPU on RDS,Database CPU at 99%.,Database,Killed a runaway ad-hoc query that was missing table joins and doing a Cartesian product.,Critical,
TKT-1416,Spam emails,Getting lots of spam.,Security,Adjusted the spam confidence level threshold in the email gateway.,Low,
TKT-1417,Kubelet memory high,Systemd killing kubelet.,Infrastructure,Applied a patch to limit kubelet memory allocation and restarted the service.,High,
TKT-1418,Accidental reply all,Sent a bad email to everyone.,Security,Executed a message trace and purged the email from all recipient inboxes via powershell.,Critical,
TKT-1419,Need Adobe Pro,Need to edit PDFs.,Access Management,Assigned Adobe Acrobat Pro license in the admin console.,Low,
TKT-1420,Slow DNS,Takes 5 seconds to resolve.,Network,Flushed the DNS cache on the primary domain controller.,Medium,
TKT-1421,Pod stuck in terminating,Pod won't delete.,Infrastructure,Force deleted the pod using kubectl delete pod --force --grace-period=0.,Medium,
TKT-1422,Missing email,Didn't get vendor email.,Network,Whitelisted the vendor's IP address in the Barracuda filter.,Medium,
TKT-1423,Forgot bitlocker pin,Locked out.,Access Management,Retrieved the Bitlocker recovery key from Azure AD and provided it to the user.,High,
TKT-1424,Disk quota exceeded,Can't save to shared drive.,Storage,Approved a 10GB quota increase based on manager request.,Low,
TKT-1425,MySQL deadlock,Queries failing due to deadlock.,Database,Modified the application logic to sort updates alphabetically to prevent lock contention.,High,
TKT-1426,IP address conflict,Getting IP conflict warning. IP is 192.168.1.100.,Network,Cleared the DHCP lease and forced the user's machine to renew its IP.,Medium,
TKT-1427,Account locked,Too many bad passwords.,Access Management,Unlocked the account in Active Directory.,Low,
TKT-1428,Cannot pull from ECR,Docker pull gets access denied.,Infrastructure,Updated the instance profile to include the ecr:GetAuthorizationToken permission.,Medium,
TKT-1429,Database password expired,App throwing auth error.,Database,Set the database user password to never expire.,High,
TKT-1430,Phone cord broken,Need a new handset cord.,Infrastructure,Replaced the RJ9 cable on the desk phone.,Low,
TKT-1431,App stopped working,It broke.,Application,Escalated to human triage. Insufficient information.,Low,
TKT-1432,SAML signature invalid,Okta error on login.,Access Management,Uploaded the new Okta metadata XML to the service provider.,High,
TKT-1433,EBS performance slow,High IO wait times.,Storage,Modified the EBS volume type from gp2 to gp3 and provisioned higher IOPS.,Medium,
TKT-1434,Need SSMS,Please install SQL Server Management Studio.,Access Management,Deployed SSMS via Microsoft Endpoint Manager.,Low,
TKT-1435,VPC endpoint blocking,Cannot reach S3 from private subnet.,Network,Updated the VPC endpoint policy to allow full access to the required S3 bucket.,Medium,
TKT-1436,Lost Yubikey,Token missing. Phone 555-012-3344.,Security,Revoked the old token and issued a replacement.,High,
TKT-1437,Webpack out of memory,Build fails on CI.,Application,Increased NODE_OPTIONS max memory size in the build script.,Medium,
TKT-1438,Postgres WAL full,Disk full due to WAL files.,Database,Increased max_wal_size and triggered a checkpoint.,Critical,
TKT-1439,Broken chair,Wheel broke.,Infrastructure,Submitted a facilities ticket for chair replacement.,Low,
TKT-1440,VPN auth failed,Says auth failed. Email: jane.doe@company.com.,Access Management,User account was disabled. Re-enabled after confirming active employment status.,Medium,
TKT-1441,Redis connection refused,Node app can't connect.,Database,Restarted the crashed Redis service on the backend server.,High,
TKT-1442,Internet broken,No wifi.,Network,Escalated to human triage. Need user location.,Low,
TKT-1443,Terraform out of sync,Plan shows weird changes.,Infrastructure,Ran terraform refresh to align the state file with reality.,Medium,
TKT-1444,S3 versioning error,Cannot delete file.,Storage,"Instructed user to specify the version ID when deleting, as versioning is enabled.",Low,
TKT-1445,Cannot reach Twilio,API call timing out.,Network,Added a NAT gateway to the private subnet to allow outbound internet access.,High,
TKT-1446,Need O365 E5,Need PowerBI.,Access Management,Upgraded user license to E5.,Low,
TKT-1447,Phishing link clicked,Entered my password on a fake site.,Security,"Reset password, revoked tokens, and blocked the malicious URL.",Critical,
TKT-1448,React Router blank,Blank page.,Application,Added exact prop to the route definition.,Medium,
TKT-1449,Cassandra node down,Node is offline.,Database,Cleared out old logs to free up disk space and restarted Cassandra.,High,
TKT-1450,USB ports disabled,Can't use thumb drive.,Security,Denied. USB storage is blocked by policy.,Low,
TKT-1451,Jenkins UI slow,UI is hanging.,Infrastructure,Increased Java heap size for the Jenkins master.,Medium,
TKT-1452,Help me please,Need help.,Application,Escalated to human triage. Insufficient information.,Low,
TKT-1453,Sharepoint permission denied,Can't upload file.,Access Management,Granted 'Member' access to the Sharepoint site.,Low,
TKT-1454,GlusterFS degraded,Volume is degraded.,Storage,Restarted glusterd and started a volume heal.,High,
TKT-1455,CORS error on font,Fonts not loading.,Application,Added the CDN domain to the allowed origins in Nginx.,Medium,
TKT-1456,AWS VPN down,Tunnel disconnected.,Network,Corrected the pre-shared key on the customer gateway.,Critical,
TKT-1457,Forgot Windows password,Locked out.,Access Management,Reset password and forced change on next login.,Medium,
TKT-1458,MySQL foreign key fail,Cannot drop table.,Database,"Disabled foreign key checks, dropped table, re-enabled checks.",Low,
TKT-1459,Pod stuck terminating,Pod won't go away.,Infrastructure,Force deleted the pod.,Low,
TKT-1460,Mac charger broken,Sparking cable.,Infrastructure,Instructed user to stop using. Shipped replacement.,High,
TKT-1461,SSL handshake failed,Load balancer returning SSL error.,Security,Renewed and attached the expired SSL certificate on the ALB.,Critical,
TKT-1462,Need Github Enterprise,Please invite me.,Access Management,Sent invitation to the Enterprise org.,Low,
TKT-1463,MongoDB slow search,Text search is slow.,Database,Rebuilt the text index on the collection.,Medium,
TKT-1464,System down,Nothing loads.,Application,Escalated to human triage. Insufficient information.,Low,
TKT-1465,Cannot mount EFS,EC2 can't mount volume.,Storage,Allowed NFS traffic in the EFS security group.,High,
TKT-1466,Docker compose error,Containers can't talk.,Infrastructure,Added a custom bridge network to the compose file.,Medium,
TKT-1467,BGP flapping,BGP drops constantly.,Network,Matched the MTU settings on the WAN interface to the ISP.,Critical,
TKT-1468,Cannot run Python,Module missing.,Application,Instructed user to run pip install for the missing module.,Low,
TKT-1469,Need production logs access,Need to view prod logs.,Access Management,Denied per security policy.,Low,
TKT-1470,Redis OOM,OOM command not allowed.,Database,Increased maxmemory limit in redis.conf.,Critical,
TKT-1471,Phishing SMS,Got a weird text.,Security,Sent out company-wide smishing alert.,Low,
TKT-1472,Storage gateway offline,Disconnected.,Storage,Added more cache disk space to the gateway VM.,High,
TKT-1473,Forgot WiFi password,Need password.,Access Management,Instructed user to use certificate enrollment instead of a password.,Low,
TKT-1474,Kube-proxy crashloop,Failing to start.,Infrastructure,Downgraded iptables on the node to a compatible version.,High,
TKT-1475,Database pool empty,Timeout pool empty error.,Application,Increased HikariCP max pool size.,Medium,
TKT-1476,Cannot reach wiki,Wiki not resolving.,Network,Recreated the deleted DNS A record for the wiki.,High,
TKT-1477,MFA loop,Okta keeps sending pushes.,Access Management,Synced time on the user's mobile device.,Medium,
TKT-1478,Help,Stopped working.,Application,Escalated to human triage. Insufficient information.,Low,
TKT-1479,MySQL deadlock found,Rollbacks due to deadlock.,Database,Scheduled the batch jobs to run sequentially instead of concurrently.,High,
TKT-1480,AWS key exposed,Key committed to Github.,Security,"Revoked key, rotated credentials, rewrote git history.",Critical,
TKT-1481,Need Acrobat Reader,Need to view PDFs.,Access Management,Directed user to self-service portal.,Low,
TKT-1482,Docker push failed,Unauthorized.,Infrastructure,Ran docker login with updated AWS ECR credentials.,Medium,
TKT-1483,RDP connection failed,Cannot RDP to server.,Network,Changed Windows Firewall profile from Public back to Domain.,Medium,
TKT-1484,Node version mismatch,Requires Node v18.,Application,Updated NVM alias to v18 on the build server.,Medium,
TKT-1485,Guest wifi access,Need code for guests.,Network,Generated and emailed a 24-hour guest voucher.,Low,
TKT-1486,S3 unencrypted,Bucket missing KMS.,Security,Enabled default AES-256 encryption on the bucket.,High,
TKT-1487,Elasticsearch mapping error,Too many dynamic fields.,Database,Set index mapping to strict.,Critical,
TKT-1488,Monitor black,Second screen won't turn on.,Infrastructure,Re-seated the DisplayPort cable.,Low,
TKT-1489,Delete user data,GDPR request for ID 12345.,Database,Ran the automated PII redaction script.,High,
TKT-1490,VPN split DNS broken,Cannot resolve public domains.,Network,Configured OpenVPN to push public DNS alongside internal DNS.,Medium,
TKT-1491,Need Tableau Explorer,Manager approved.,Access Management,Provisioned Tableau Explorer license.,Low,
TKT-1492,GitHub runner offline,Runner is disconnected.,Infrastructure,Restarted the github-actions-runner service on the host.,High,
TKT-1493,Lost Outlook access,Prompting for password.,Access Management,Sent user instructions to update their expired AD password.,Medium,
TKT-1494,WAF blocking users,403 forbidden on form submit.,Security,Added a WAF rule exclusion for the form endpoint.,Critical,
TKT-1495,Redis read timeout,Timeout exceptions.,Database,Increased the timeout limit in the Redis client config.,Medium,
TKT-1496,Printer broken,Jammed.,Infrastructure,Cleared jam and replaced toner.,Low,
TKT-1497,Need AWS console,Need to view logs.,Access Management,Created IAM user with CloudWatch read access.,Low,
TKT-1498,File corrupted,Won't open.,Application,Escalated to human triage. Need the specific file.,Low,
TKT-1499,Postgres high CPU,100% CPU during cron.,Database,Refactored cron to batch deletes with a sleep interval.,High,
TKT-1500,Route 53 failing,Health check failed.,Network,Restarted the crashed Nginx service on the primary endpoint.,Critical,
TKT-1501,Cannot connect NAS Mac,Finder error.,Storage,Enabled SMBv3 support on the NAS.,Medium,
TKT-1502,Malicious macro,Antivirus blocked excel file.,Security,Deleted the Emotet payload and ran a full system scan.,Critical,
TKT-1503,Kubelet PLEG healthy,Node flapping.,Infrastructure,Evicted the noisy neighbor pod causing high IO wait.,High,
TKT-1504,Change Slack email,Name changed.,Access Management,Updated email in the Slack admin console.,Low,
TKT-1505,React IE11 blank,White screen on IE11.,Application,Added react-app-polyfill for IE11 support.,Medium,
TKT-1506,MongoDB peering dropped,Cannot connect to Atlas.,Network,Re-accepted the VPC peering request in AWS.,Critical,
TKT-1507,Java pod OOMKilled,Spring Boot crashing.,Application,Set JVM max heap size to 75% of the pod limit.,High,
TKT-1508,Error 404,Got 404.,Application,Escalated to human triage. Need the URL.,Low,
TKT-1509,Phishing test fail,Clicked the fake link.,Security,Enrolled user in mandatory cybersecurity training.,Low,
TKT-1510,RDS backup hanging,Snapshot stuck.,Storage,Increased allocated storage to resolve 'Storage Full' state.,High,
TKT-1511,Forgot Mac PIN,Cannot log into Macbook.,Access Management,Reset password using FileVault recovery key.,Medium,
TKT-1512,MongoDB index missing,Search timing out.,Database,Created a compound text index.,High,
TKT-1513,NFS mount hang boot,Server hangs on boot.,Storage,Added _netdev to the fstab entry.,Medium,
TKT-1514,Need Canva Pro,Need for marketing.,Access Management,Added user to the Canva Enterprise team.,Low,
TKT-1515,BGP route not advertising,Subnet unreachable.,Network,Added the network statement to the BGP config.,High,
TKT-1516,Suspicious outbound,Traffic to Russian IP.,Security,Blocked port 22 outbound and shut down the compromised VM.,Critical,
TKT-1517,Kafka consumer rebalancing,Constantly rebalancing.,Application,Increased session.timeout.ms in consumer config.,High,
TKT-1518,Docker Hub rate limit,Cannot pull images.,Infrastructure,Configured Docker to use authenticated service account.,Medium,
TKT-1519,Database password expired,App logs say expired.,Database,Set app_user password to never expire.,High,
TKT-1520,Phone cord cut,Cord is broken.,Infrastructure,Replaced the handset cord.,Low,
TKT-1521,App stopped working,Was working yesterday.,Application,Escalated to human triage. Insufficient information.,Low,
TKT-1522,SAML invalid signature,Okta SSO failing.,Access Management,Uploaded new SP metadata XML.,High,
TKT-1523,EBS performance degraded,High IO latency.,Storage,Upgraded volume to io1 with higher IOPS.,Critical,
TKT-1524,Missing emails inbox,Emails are gone.,Application,Deleted a rogue Outlook rule moving emails to Archive.,Medium,
TKT-1525,Need SSMS installed,Need SQL studio.,Access Management,Pushed SSMS package via endpoint manager.,Low,
TKT-1526,Express middleware crashing,The auth middleware is throwing 'Cannot set headers after they are sent to the client'.,Application,Fixed the asynchronous flow by returning next() instead of calling it and continuing execution.,High,
TKT-1527,Need access to production AWS,I need AdministratorAccess to fix a bug in prod.,Access Management,Denied. Directed user to the standard change management and deployment pipeline.,Low,
TKT-1528,Mongoose validation error,Updates to the user profile are failing schema validation on the phone field.,Database,Updated the Mongoose regex validator to accept international phone number formats.,Medium,
TKT-1529,Can't log into Zoom,Getting error code 5003 when joining the company all-hands.,Application,Instructed user to disconnect from the VPN to allow direct UDP connections to Zoom servers.,Medium,
TKT-1530,VPN gateway offline,The EU-West OpenVPN gateway is completely unreachable.,Network,Rebooted the frozen EC2 instance hosting the gateway and verified tunnel restoration.,Critical,
TKT-1531,React useEffect infinite loop,The dashboard component is re-rendering infinitely and crashing the browser tab.,Application,Added the missing dependency array to the useEffect hook in Dashboard.jsx.,High,
TKT-1532,Lost ID badge,I dropped my access badge on the train.,Security,Deactivated the lost physical badge in the physical security system and issued a temporary day pass.,High,
TKT-1533,EBS volume unmountable,Cannot mount the XFS volume on the database instance.,Storage,Ran xfs_repair on the block device to fix corrupted filesystem journal.,High,
TKT-1534,Database port blocked,My local pgAdmin can't connect to the staging database on port 5432.,Network,Added the user's home IP (98.243.11.20) to the staging database security group.,Medium,
TKT-1535,Jenkins pipeline timeout,The frontend build is timing out after 60 minutes.,Infrastructure,Increased the timeout block in the Jenkinsfile to 120 minutes to handle larger Webpack builds.,Medium,
TKT-1536,Forgot my password,Phone is +44 20 7946 0958. Help me reset.,Access Management,Sent a secure password reset link to the user's secondary mobile device.,Medium,
TKT-1537,S3 CORS policy issue,Browser is blocking image downloads from the S3 bucket due to CORS.,Storage,Added a CORS configuration to the S3 bucket allowing GET requests from the production domain.,Medium,
TKT-1538,MongoDB slow aggregation,The monthly reporting aggregation pipeline is taking 10 minutes.,Database,Added a $match stage at the beginning of the pipeline to filter out unnecessary documents before sorting.,High,
TKT-1539,Need local admin,Need admin to run a powershell script.,Access Management,Denied. Script must be reviewed by security and deployed via MDM if legitimate.,Low,
TKT-1540,Wifi is slow,I am at desk 12B and the wifi is barely working.,Network,Moved user to the 5GHz SSID and adjusted the channel width on the nearest access point.,Low,
TKT-1541,React context performance,The whole app re-renders when the user theme changes.,Application,Split the global context into separate ThemeContext and UserContext to prevent unnecessary re-renders.,Medium,
TKT-1542,Kafka partition offline,Partition 4 of the logs topic has no leader.,Infrastructure,Restarted the crashed Kafka broker and forced a preferred replica election.,High,
TKT-1543,Phishing email,Got an email from hr@companee.com asking for my banking details.,Security,Blocked the typo-squatted domain at the email gateway and initiated a phishing takedown request.,High,
TKT-1544,Need Figma viewer,I need to look at the new mockups.,Access Management,Provisioned a free viewer seat in the Figma organization.,Low,
TKT-1545,Database out of memory,The PostgreSQL service crashed due to OOM killer.,Database,Reduced work_mem in postgresql.conf to prevent complex sorts from consuming all available RAM.,Critical,
TKT-1546,Cannot reach internal API,DNS says NXDOMAIN for api.internal.local.,Network,The DNS A record was missing in the internal zone. Re-created the record.,High,
TKT-1547,Pod scheduling failed,StatefulSet pods stuck in Pending.,Infrastructure,Added a new persistent volume that matched the storage class and capacity requirements.,High,
TKT-1548,App broke,Fix it.,Application,Escalated to human triage due to insufficient details.,Low,
TKT-1549,Help me,I am getting an error.,Application,Escalated to human triage. Need the error message.,Low,
TKT-1550,Stuck at boot screen,My Windows laptop is stuck in a boot loop showing a blue screen.,Infrastructure,Investigating widespread blue screen issue linked to recent Antivirus update.,Critical,
TKT-1551,Blue screen of death,Laptop crashed and won't turn on.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to boot in safe mode and delete the bad sys file.,Critical,
TKT-1552,Windows won't boot,Getting a BSOD on startup.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to boot in safe mode and delete the bad sys file.,Critical,
TKT-1553,Crash loop,My PC is restarting endlessly.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to boot in safe mode and delete the bad sys file.,Critical,
TKT-1554,BSOD error,Blue screen error code PAGE_FAULT_IN_NONPAGED_AREA.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to boot in safe mode and delete the bad sys file.,Critical,
TKT-1555,Laptop broken,Keeps restarting to a blue screen.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to boot in safe mode and delete the bad sys file.,Critical,
TKT-1556,Windows update crashed my PC,Cannot boot into Windows.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to boot in safe mode and delete the bad sys file.,Critical,
TKT-1557,System failure,Blue screen on boot.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to boot in safe mode and delete the bad sys file.,Critical,
TKT-1558,Stuck on blue screen,What do I do? It won't start.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to boot in safe mode and delete the bad sys file.,Critical,
TKT-1559,Fatal error on boot,Windows encountered a fatal error.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to boot in safe mode and delete the bad sys file.,Critical,
TKT-1560,PC won't start up,Just shows a blue screen and restarts.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to boot in safe mode and delete the bad sys file.,Critical,
TKT-1561,Is the network down,I can't log in because my PC is blue screening.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to boot in safe mode and delete the bad sys file.,Critical,
TKT-1562,Blue screen loop,"Help, stuck in BSOD loop.",Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to boot in safe mode and delete the bad sys file.,Critical,
TKT-1563,Windows recovery environment,My laptop went into recovery mode.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to use command prompt in recovery to delete the bad sys file.,Critical,
TKT-1564,BSOD on all office PCs,The whole sales floor is getting blue screens.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Dispatched IT team to physically remediate the sales floor PCs using safe mode script.,Critical,
TKT-1565,Cannot boot,BSOD.,Infrastructure,Repeated issue. Linked to master ticket TKT-1550. Instructed user to boot in safe mode and delete the bad sys file.,Critical,
TKT-1566,Redis connection pool exhausted,Node app is throwing max connections errors on Redis.,Database,Increased the maximum connection limit in the ioredis client configuration.,High,
TKT-1567,Missing permissions on shared drive,Cannot open the Q4 Financials folder.,Access Management,Added the user to the 'Finance_Execs' AD security group.,Low,
TKT-1568,Node app memory leak,The backend microservice restarts every 2 hours due to OOM.,Application,Identified a memory leak in the PDF generation module. Rolled back the module version.,High,
TKT-1569,Network drive disconnected,My Z drive is showing a red X.,Storage,Forced a group policy update (gpupdate /force) on the user's machine to remap the drive.,Low,
TKT-1570,Route53 domain expired,The staging domain is not resolving.,Network,Renewed the expired domain registration in the AWS Route53 console.,Critical,
TKT-1571,Need Jira Admin,Need admin rights to create a new workflow.,Access Management,Denied. Directed user to submit the workflow requirements to the Jira operations team.,Low,
TKT-1572,React component mounting twice,The API is being called twice on page load.,Application,Removed React.StrictMode from the index.js file in the development environment.,Low,
TKT-1573,S3 bucket public exposure,Security hub flagged a bucket as publicly readable.,Security,Immediately applied 'Block Public Access' settings to the bucket and removed the wildcard policy.,Critical,
TKT-1574,MongoDB replication lag,The secondary nodes are 500GB behind the primary.,Database,Re-synced the secondary nodes from scratch as the oplog had rolled over.,High,
TKT-1575,Cannot push to Docker Hub,Getting unauthorized error.,Infrastructure,Rotated the Docker Hub access token and updated it in the Jenkins credentials store.,Medium,
TKT-1576,Broken link on website,Clicking 'About Us' gives a 404.,Application,Fixed the routing configuration in the React Router setup.,Medium,
TKT-1577,Need Adobe Creative Cloud,Manager approved request for Photoshop and Illustrator.,Access Management,Provisioned the full Adobe Creative Cloud suite license.,Low,
TKT-1578,VPN tunnel dropped,The site-to-site VPN to Azure is down.,Network,Phase 1 negotiation failed due to a mismatched pre-shared key. Corrected the key.,Critical,
TKT-1579,Lost 2FA phone,Cannot log into AWS without my phone.,Access Management,Verified user identity via video call and reset their virtual MFA device.,High,
TKT-1580,Storage array degraded,Disk 4 in the SAN is showing an amber light.,Storage,Hot-swapped the failed SAS drive. Array is currently rebuilding.,High,
TKT-1581,Ransomware infection,Files on my desktop have a .locked extension.,Security,Immediately severed network connection to the host. Initiated incident response and re-imaging.,Critical,
TKT-1582,Postgres slow query,The users table query is taking 30 seconds.,Database,Created a missing B-Tree index on the 'last_login' column.,High,
TKT-1583,Kube API unresponsive,kubectl commands are timing out.,Infrastructure,Restarted the kube-apiserver pods on the master nodes due to memory exhaustion.,Critical,
TKT-1584,It's not loading,Blank screen.,Application,Escalated to human triage. Need steps to reproduce.,Low,
TKT-1585,Accidental email,I sent a confidential document to the wrong client.,Security,Attempted message recall. Instructed account manager to contact the client directly regarding the error.,High,
TKT-1586,Need Slack channel created,Can you make a channel for #project-alpha?,Application,Closed. Instructed user they have permissions to create public channels themselves.,Low,
TKT-1587,AWS billing alert,Cost spiked by 400% yesterday.,Infrastructure,Identified and terminated an orphaned EMR cluster that was left running after a test.,Critical,
TKT-1588,Cannot delete S3 object,Getting access denied when trying to delete.,Storage,User's IAM role only had s3:PutObject. Added s3:DeleteObject to the policy.,Medium,
TKT-1589,MySQL max connections,Database rejecting connections.,Database,Increased max_connections in the my.cnf file and implemented connection pooling in the app.,High,
TKT-1590,Forgot laptop password,I can't log in to Windows.,Access Management,Reset the local AD password and forced a change at next logon.,Medium,
TKT-1591,Printer out of ink,Printer on the 3rd floor is printing faded lines.,Infrastructure,Replaced the black toner cartridge and drum unit.,Low,
TKT-1592,BGP neighbor down,The peering session with the secondary ISP dropped.,Network,Contacted ISP. They resolved a routing loop on their core routers.,High,
TKT-1593,React state not updating,The UI doesn't reflect the new variable value.,Application,Refactored the component to use the useState hook setter function properly.,Medium,
TKT-1594,Need Datadog access,Need to view the application metrics.,Access Management,Granted 'Standard User' role in the Datadog organization.,Low,
TKT-1595,Gluster volume full,The distributed file system is at 100% capacity.,Storage,Added a new storage brick to the volume and rebalanced the data.,Critical,
TKT-1596,Suspicious login,Login from an unknown IP in Russia.,Security,"Forced immediate password reset, revoked all sessions, and enabled conditional access blocking foreign IPs.",Critical,
TKT-1597,Pod stuck terminating,Deployment won't delete.,Infrastructure,Force deleted the namespace using a JSON payload to bypass the finalizers.,Medium,
TKT-1598,Cassandra read timeout,Queries are timing out.,Database,Ran a nodetool repair to fix data inconsistencies across the cluster replicas.,High,
TKT-1599,Please fix,Help.,Infrastructure,Escalated to human triage.,Low,
TKT-1600,Cannot access Confluence,Getting 502 Bad Gateway.,Application,Restarted the Confluence Tomcat service on the application server.,High,
TKT-1601,Need Visio,Need Microsoft Visio.,Access Management,Assigned Visio Plan 2 license.,Low,
TKT-1602,React Router missing params,The URL parameters are undefined in the component.,Application,Updated to use the useParams hook from react-router-dom v6.,Medium,
TKT-1603,EBS snapshot failed,Nightly backup failed.,Storage,Deleted old manual snapshots to clear up account limits.,Medium,
TKT-1604,VPC peering dropped,Cannot reach the database VPC.,Network,Restored the deleted route table entry for the peering connection.,Critical,
TKT-1605,Redis OOM,Redis is evicting keys randomly.,Database,Upgraded the ElastiCache node type to provide more memory capacity.,High,
